amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Sortino,Alpha,Beta,Max_Drawdown,Rank_CAGR,Rank_Sharpe,Rank_Alpha,Rank_Drawdown,Score,Final_Score
148567,20.360678307711865,34.00091602163293,26.79927700697151,1.4488317455875075,2.387668107118884,0.2691067256955176,0.0104721561756368,-0.1126572907502827,2.0,1.0,6.0,8.0,4.050000000000001,89.17
120843,26.657081760850154,29.58277033726251,26.74249401072899,1.3072317122545227,2.366220356678863,0.2732112575470938,-0.0043698864336394,-0.1297396816518679,7.0,2.0,5.0,13.0,6.85,81.68
148569,39.75176148971702,29.178901578393777,27.62985997578453,1.2353909639026444,2.148604631891987,0.2808029988427154,0.0176412746160142,-0.1639674294693263,8.0,3.0,4.0,21.0,9.2,75.4
